45 b5 6 4
45 b8 4 2
45 b12 2 3
47 b11 3 6
47 b10 1 6
47 b9 5 4
47 b7 2 5
47 b6 1 4
47 b2 2 1
47 b1 1 1
45 b3 4 1
45 b9 4 4
45 r 3 1
46 b5 6 5
46 r 3 1
46 b9 4 4
46 b3 4 1
48 b1 1 1
48 b2 2 1
48 b6 1 4
48 b7 2 5
48 b9 5 4
48 b10 1 6
48 b11 3 6
46 b12 2 3
46 b8 4 2
46 b4 5 5
47 b4 5 5
47 b8 4 2
47 b12 2 3
49 b11 3 6
49 b10 1 6
49 b9 5 4
49 b8 4 4
49 b7 2 5
49 b6 1 4
49 b2 2 1
49 b1 1 1
47 b3 4 1
47 r 3 1
